time	timeerr1	timeerr2	flux	fluxerr1	fluxerr2
29.5409999978542	0.02	-0.02	1.47024816966467e-07	1.0451744736109e-08	-1.0451744736109e-08
29.5810000193119	0.02	-0.02	1.8843555233823e-07	1.60797889089281e-08	-1.60797889089281e-08
29.6210000109673	0.02	-0.02	3.74815469705038e-07	2.64183452147208e-08	-2.64183452147208e-08
29.6610000026226	0.02	-0.02	4.28151555261077e-07	3.07226734406236e-08	-3.07226734406236e-08
29.7010000240803	0.02	-0.02	5.8358699310999e-07	4.30445436869089e-08	-4.30445436869089e-08
29.7410000157356	0.02	-0.02	6.448305206288e-07	4.88041413645516e-08	-4.88041413645516e-08
29.781000007391	0.02	-0.02	1.69146343172025e-07	1.32920005969142e-08	-1.32920005969142e-08
29.8209999990463	0.02	-0.02	6.75160384683585e-08	5.53568079981165e-09	-5.53568079981165e-09
29.861000020504	0.02	-0.02	3.30299504910441e-07	2.34716911524193e-08	-2.34716911524193e-08
29.9010000121593	0.02	-0.02	8.1442914085303e-07	6.21166190737451e-08	-6.21166190737451e-08
29.9410000038147	0.02	-0.02	2.26973506372682e-07	1.59787322685059e-08	-1.59787322685059e-08
29.9810000252724	0.02	-0.02	6.17741030299029e-07	4.413127841949e-08	-4.413127841949e-08
30.0210000169277	0.02	-0.02	2.00699971613082e-07	1.27842300741539e-08	-1.27842300741539e-08
30.0610000085831	0.02	-0.02	8.10953269810072e-08	6.38780421960752e-09	-6.38780421960752e-09
30.1010000002384	0.02	-0.02	1.71067913582464e-07	1.30856014876352e-08	-1.30856014876352e-08
30.1410000216961	0.02	-0.02	1.78329377139394e-07	1.4044102071411e-08	-1.4044102071411e-08
